Abbreviated,Full Name
VS,Vision Strikers
FS,FULL SENSE
VKS,Team Vikings
CR,Carleton Ravens
FNC,FNATIC
C9,Cloud9
GMB,Gambit Esports
TS,Team Samurai
SEN,Sentinels
FUR,FURIA
KRÜ,KRÜ Esports
TL,Team Liquid
NV,Envy
X10,X10 Esports
ACE,ACE
100T,100 Thieves
GEN,Gen.G
XSET,XSET
LG,Luminosity
FaZe,FaZe Clan
Rise,Rise
V1,Version1
SHK,Sharks Esports
EXL,E-Xolos LAZER
AUS,Australs
6K,Six Karma
GLB,Gamelanders Blue
LBR,Liberty
INF,INFINITY
G2,G2 Esports
ANB,Anubis Gaming
FUT,FUT Esports
OXG,Oxygen Esports
SUP,Spot Up
GLD,Guild Esports
OBG,One Breath Gaming
BME,BOOM Esports
FL,FENNEL
GE,Global Esports
DK,DAMWON Gaming
RC,RIFLE CRUTCHERS
F4Q,F4Q
NTH,NORTHEPTION
NU,NUTURN
PRX,Paper Rex
FXG,Foxy Araikordai
GK,Geekay Esports
MJY,Team Majesty
YLA,YaLLa Esports
NASR,NASR Esports
PER,Piercer Esports
RAAD,Team RA'AD
ZETA,ZETA DIVISION
ORD,ORDER
DW,Dire Wolves
WC,Wildcard Gaming
NEB,Nebula
PEAC,PEACE
LGC,Legacy Esports
MF,Mindfreak
BLISS,Team Bliss
NGEN,New Genesis Esports
Team,Team Entry
Top,Top Gear
SCY,SCYTES
OXR,Onyx Ravens
Alte,Alterfox Esports
Psyc,Psycho
WaVii,Team WaVii
7sg,La7zag Esports
Elem,Elementals
RTG,RTG eSports
Exy,Exality
Myth,Mythociast
FRG,Fraggerz
TMP,TEMPO
Bi e,Bi eSports
GDL,GodLike Esports
LES,Lethal Esports
ENGM,Enigma Gaming
W Ga,W Gaming
VLTG,Velocity Gaming
TRS,True Rippers
F1LS,F1LS Esports
Outs,Outset Esports
SE,SE ATLAS
Kill,KillGoFrenzy
T69,Team 69
RGES,Reckoning Esports
TE,Team Exploit
Clar,Clarity
SALT,Salt Esports
Evil,EvilG
Arrow,Team Arrow
AQ,Aquiver
Nama,Namak Boys
